,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
16789,Alabama,Chambers County,Donald Trump,REP,8753,True,1017,AL,16257,17569,43.0,33826,51.939336604978415,32.914345351107194,-85.39203021569158,red
16793,Arkansas,Clark County,Donald Trump,REP,4616,True,5019,AR,10628,11757,34.1,22385,52.521777976323435,34.050970670851605,-93.17636676689386,red
16806,Arkansas,Clay County,Donald Trump,REP,4086,True,5021,AR,7414,7647,43.0,15061,50.77352101454086,36.36827122549728,-90.41755750692673,red
16819,Arkansas,Cleburne County,Donald Trump,REP,10328,True,5023,AR,12472,12758,49.4,25230,50.566785572730886,35.53810443735143,-92.02672750378927,red
16832,Arkansas,Cleveland County,Donald Trump,REP,2867,True,5025,AR,4138,4088,42.7,8226,49.696085582300036,33.898373124574086,-92.18518895706724,red
16845,Arkansas,Columbia County,Donald Trump,REP,5500,True,5027,AR,11444,12448,36.0,23892,52.10112171438138,33.214298321047565,-93.22731371345827,red
16858,Arkansas,Conway County,Donald Trump,REP,5694,True,5029,AR,10182,10724,41.7,20906,51.29627858031187,35.262246537380165,-92.70129382838728,red
16871,Arkansas,Craighead County,Donald Trump,REP,25558,True,5031,AR,51528,54173,34.1,105701,51.25117075524357,35.830780591727,-90.63283975822227,red
16884,Arkansas,Crawford County,Donald Trump,REP,18607,True,5033,AR,30761,31711,38.7,62472,50.76034063260341,35.58908630761966,-94.24282113342363,red
16897,Arkansas,Crittenden County,Joe Biden,DEM,8514,True,5035,AR,23271,25742,35.1,49013,52.52075979842082,35.20794386122905,-90.30883835295964,blue
16910,Arkansas,Cross County,Donald Trump,REP,4946,True,5037,AR,8200,8798,41.2,16998,51.75903047417343,35.29571521853951,-90.77121408620285,red
16923,Arkansas,Arkansas County,Donald Trump,REP,4304,True,5001,AR,8733,9391,41.4,18124,51.815272566762296,34.29080705580511,-91.37490973290753,red
16936,Arkansas,Dallas County,Donald Trump,REP,1573,True,5039,AR,3618,3814,43.7,7432,51.31862217438106,33.96980985111147,-92.65444704569549,red
16949,Arkansas,Desha County,Joe Biden,DEM,2016,True,5041,AR,5623,6264,39.1,11887,52.696222764364435,33.833284507105354,-91.25398249476532,blue
16962,Arkansas,Drew County,Donald Trump,REP,4349,True,5043,AR,9033,9469,37.0,18502,51.17825099989191,33.58945379935467,-91.72001113881393,red
16975,Arkansas,Faulkner County,Donald Trump,REP,34421,True,5045,AR,59911,62505,32.5,122416,51.05950202587897,35.14698116792315,-92.33204545404496,red
16988,Arkansas,Franklin County,Donald Trump,REP,5677,True,5047,AR,8675,9105,41.3,17780,51.20922384701913,35.5123205449671,-93.89063726266792,red
17001,Arkansas,Fulton County,Donald Trump,REP,3961,True,5049,AR,6048,6091,48.1,12139,50.1771150836148,36.381657404512616,-91.81822518817465,red
17014,Arkansas,Garland County,Donald Trump,REP,29069,True,5051,AR,47182,51114,44.9,98296,52.00008138683161,34.57666777754009,-93.15041074296991,red
17027,Arkansas,Grant County,Donald Trump,REP,6794,True,5053,AR,8870,9216,40.4,18086,50.95654097091674,34.2900048788879,-92.42360628570307,red
17040,Arkansas,Greene County,Donald Trump,REP,12670,True,5055,AR,21912,22711,37.9,44623,50.89527821975215,36.1175692120782,-90.55896359781539,red
17053,Arkansas,Hempstead County,Donald Trump,REP,4470,True,5057,AR,10494,11524,39.9,22018,52.338995367426655,33.73532331512718,-93.66847440957208,red
17066,Arkansas,Ashley County,Donald Trump,REP,5548,True,5003,AR,10013,10524,41.7,20537,51.244096021814286,33.191211354727336,-91.7684577361982,red
17079,Arkansas,Hot Spring County,Donald Trump,REP,9202,True,5059,AR,17418,16102,41.3,33520,48.036992840095465,34.31762873758588,-92.94594016282792,red
17092,Arkansas,Howard County,Donald Trump,REP,3367,True,5061,AR,6440,6949,38.8,13389,51.900814101127786,34.08890648823255,-93.99357394904557,red
17105,Arkansas,Independence County,Donald Trump,REP,11250,True,5063,AR,18092,19172,39.4,37264,51.449119793902966,35.7415724849761,-91.56970871240068,red
17118,Arkansas,Izard County,Donald Trump,REP,4631,True,5065,AR,7018,6541,48.0,13559,48.2410207242422,36.09487010035818,-91.91340553189517,red
17131,Arkansas,Jackson County,Donald Trump,REP,3593,True,5067,AR,8512,8713,39.9,17225,50.58345428156749,35.59922211078086,-91.21456610285112,red
17144,Arkansas,Jefferson County,Joe Biden,DEM,14981,True,5069,AR,34906,35518,38.8,70424,50.43451096217198,34.26878205780137,-91.93151808720087,blue
17157,Arkansas,Johnson County,Donald Trump,REP,6938,True,5071,AR,12976,13315,38.0,26291,50.644707314290066,35.570064703742396,-93.45989301357979,red
17170,Arkansas,Lafayette County,Donald Trump,REP,1757,True,5073,AR,3381,3534,46.3,6915,51.1062906724512,33.24094545145252,-93.60705581045154,red
17183,Arkansas,Lawrence County,Donald Trump,REP,4569,True,5075,AR,8270,8399,41.1,16669,50.38694582758414,36.04122681848132,-91.10709583181772,red
17196,Arkansas,Lee County,Joe Biden,DEM,1423,True,5077,AR,5309,4089,41.8,9398,43.509257288784845,34.78065178564233,-90.78212191166011,blue
17209,Arkansas,Baxter County,Donald Trump,REP,15836,True,5005,AR,19992,21227,52.1,41219,51.49809553846527,36.287208404293814,-92.33695011949514,red
17222,Arkansas,Lincoln County,Donald Trump,REP,2729,True,5079,AR,8590,5105,38.6,13695,37.276378240233655,33.95744904396039,-91.73332986155596,red
17235,Arkansas,Little River County,Donald Trump,REP,3715,True,5081,AR,6090,6327,42.6,12417,50.95433679632762,33.700511447751154,-94.23434658306978,red
17248,Arkansas,Logan County,Donald Trump,REP,6441,True,5083,AR,10643,11114,41.5,21757,51.0824102587673,35.21527067849378,-93.71634187499376,red
17261,Arkansas,Lonoke County,Donald Trump,REP,22884,True,5085,AR,35667,36539,36.1,72206,50.603827936736565,34.754256224990016,-91.88867330213915,red
