,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
0,Delaware,Kent County,Joe Biden,DEM,44552,True,10001,DE,84271,90551,37.6,174822,51.79611261740513,39.08616892823277,-75.56842231599367,blue
4,Delaware,New Castle County,Joe Biden,DEM,195034,True,10003,DE,268870,286263,38.1,555133,51.56656152669721,39.5768334366461,-75.65269158568691,blue
8,Delaware,Sussex County,Donald Trump,REP,71230,True,10005,DE,106429,113111,49.0,219540,51.52181834745376,38.660552929902394,-75.39003806326262,red
12,District of Columbia,District of Columbia,Joe Biden,DEM,39041,True,11001,,324881,359617,33.9,684498,52.537333929390606,38.904733935498726,-77.01629383836658,blue
19,Florida,Alachua County,Joe Biden,DEM,89704,True,12001,FL,127298,135850,31.3,263148,51.62494109778528,29.67474971890421,-82.3577136804271,blue
27,Florida,Baker County,Donald Trump,REP,11911,True,12003,FL,14753,13032,37.6,27785,46.90300521864315,30.331097919902273,-82.28462852125189,red
35,Florida,Bay County,Donald Trump,REP,66097,True,12005,FL,90768,91714,39.4,182482,50.25920364748304,30.26521548612463,-85.62024281873269,red
43,Florida,Bradford County,Donald Trump,REP,10334,True,12007,FL,14841,12138,40.1,26979,44.99054820415879,29.949948760193077,-82.16876766874358,red
51,Florida,Brevard County,Donald Trump,REP,207883,True,12009,FL,282023,294785,47.2,576808,51.10626066212674,28.293721855653967,-80.73227050221601,red
59,Florida,Broward County,Joe Biden,DEM,618752,True,12011,FL,929712,979439,40.1,1909151,51.302332817048,26.152322379181037,-80.48712563481989,blue
67,Florida,Calhoun County,Donald Trump,REP,5274,True,12013,FL,8048,6396,40.2,14444,44.281362503461644,30.40602254405449,-85.19719429272153,red
75,Florida,Charlotte County,Donald Trump,REP,73243,True,12015,FL,86278,90676,58.6,176954,51.24269584185721,26.90548521747582,-81.91226117367738,red
83,Florida,Citrus County,Donald Trump,REP,65352,True,12017,FL,69376,73711,56.2,143087,51.51481266641972,28.84891085374661,-82.47939451581993,red
91,Florida,Clay County,Donald Trump,REP,84480,True,12019,FL,102225,105066,39.5,207291,50.685268535537006,29.983063357912933,-81.85787749603033,red
99,Florida,Collier County,Donald Trump,REP,128950,True,12021,FL,179336,184586,50.3,363922,50.72130841224218,26.110715650069547,-81.34757344148187,red
107,Florida,Columbia County,Donald Trump,REP,23836,True,12023,FL,35683,33422,40.7,69105,48.36408364083641,30.22424804587699,-82.6215392879257,red
115,Florida,DeSoto County,Donald Trump,REP,8313,True,12027,FL,20657,15742,40.6,36399,43.24844089123327,27.18636318151619,-81.8095044842232,red
123,Florida,Dixie County,Donald Trump,REP,6759,True,12029,FL,9218,7219,47.3,16437,43.91920666788344,29.608191599772557,-83.15880036818349,red
130,Florida,Duval County,Joe Biden,DEM,252556,True,12031,FL,448163,476066,36.1,924229,51.5095284826596,30.33157316078935,-81.67084283244348,blue
138,Florida,Escambia County,Donald Trump,REP,96674,True,12033,FL,154520,157002,37.2,311522,50.398366728513565,30.66892673365146,-87.36278300432998,red
146,Florida,Flagler County,Donald Trump,REP,43043,True,12035,FL,51187,55952,50.9,107139,52.22374672154865,29.461424845918266,-81.31356839145538,red
154,Florida,Franklin County,Donald Trump,REP,4675,True,12037,FL,6714,5022,45.0,11736,42.79141104294479,29.87646471775977,-84.81402385488366,red
161,Florida,Gadsden County,Joe Biden,DEM,16153,True,12039,FL,21785,24232,40.7,46017,52.65880000869244,30.57947808300991,-84.61362454008069,blue
168,Florida,Gilchrist County,Donald Trump,REP,7895,True,12041,FL,9249,8366,42.5,17615,47.49361339767243,29.725832116937923,-82.80037637542131,red
176,Florida,Glades County,Donald Trump,REP,3782,True,12043,FL,7303,6060,47.2,13363,45.34909825637957,26.95643070782842,-81.18907378189233,red
183,Florida,Gulf County,Donald Trump,REP,6113,True,12045,FL,9586,6469,44.3,16055,40.292743693553405,29.955533791104088,-85.22659118243888,red
191,Florida,Hamilton County,Donald Trump,REP,3815,True,12047,FL,8281,5988,41.5,14269,41.96509916602425,30.4963888195477,-82.94793280216841,red
199,Florida,Hardee County,Donald Trump,REP,6122,True,12049,FL,14705,12523,35.1,27228,45.993095343029225,27.49270248675437,-81.8099829757123,red
206,Florida,Hendry County,Donald Trump,REP,7906,True,12051,FL,21437,18690,33.9,40127,46.57711765145663,26.553483325686326,-81.1658511122754,red
214,Florida,Hernando County,Donald Trump,REP,70412,True,12053,FL,87747,94949,48.9,182696,51.97103384857906,28.553631869514195,-82.4250382875201,red
222,Florida,Highlands County,Donald Trump,REP,34873,True,12055,FL,49727,52374,53.4,102101,51.29626546263014,27.343294339378854,-81.34103830391945,red
230,Florida,Hillsborough County,Joe Biden,DEM,376367,True,12057,FL,673286,705597,36.9,1378883,51.1716367523568,27.929076653782893,-82.30919543087629,blue
238,Florida,Holmes County,Donald Trump,REP,8080,True,12059,FL,10484,8946,42.5,19430,46.04220277920741,30.867921065400104,-85.81401730838495,red
245,Florida,Indian River County,Donald Trump,REP,58872,True,12061,FL,72290,78694,52.9,150984,52.120754517034925,27.69431170639811,-80.60624480956191,red
253,Florida,Jackson County,Donald Trump,REP,15488,True,12063,FL,26784,21688,41.6,48472,44.74335698960225,30.795424733424305,-85.21549243778115,red
261,Florida,Jefferson County,Donald Trump,REP,4479,True,12065,FL,7507,6598,47.2,14105,46.777738390641616,30.437489290653517,-83.8952923758476,red
269,Florida,Lafayette County,Donald Trump,REP,3128,True,12067,FL,5066,3678,39.1,8744,42.063129002744745,29.98550163421513,-83.18109169194011,red
276,Florida,Lake County,Donald Trump,REP,125859,True,12069,FL,162402,172960,46.8,335362,51.574119906250566,28.7615362975738,-81.71126372382379,red
284,Florida,Lee County,Donald Trump,REP,233247,True,12071,FL,351918,366761,48.1,718679,51.032658530442646,26.57778608961981,-81.83374251869483,red
292,Florida,Leon County,Joe Biden,DEM,103517,True,12073,FL,136894,151208,30.7,288102,52.484189627284785,30.458040822393304,-84.27789669045394,blue
300,Florida,Levy County,Donald Trump,REP,16749,True,12075,FL,19364,20597,46.8,39961,51.542754185330686,29.31842893363033,-82.74355311874234,red
308,Florida,Liberty County,Donald Trump,REP,2846,True,12077,FL,5110,3255,40.3,8365,38.91213389121339,30.24137448501433,-84.88289857705256,red
315,Florida,Madison County,Donald Trump,REP,5576,True,12079,FL,9829,8645,42.9,18474,46.79549637328137,30.444118897538985,-83.47012097179798,red
323,Florida,Manatee County,Donald Trump,REP,124987,True,12081,FL,180595,193258,48.0,373853,51.69358009699,27.471905677439604,-82.31531846354605,red
331,Florida,Marion County,Donald Trump,REP,127826,True,12083,FL,167211,181160,48.6,348371,52.00203231612276,29.21020747879416,-82.05665151069297,red
339,Florida,Martin County,Donald Trump,REP,61168,True,12085,FL,78002,79579,51.9,157581,50.50037758359193,27.077522043942032,-80.43147131544295,red
347,Florida,Miami-Dade County,Joe Biden,DEM,617864,True,12086,FL,1318627,1396889,39.7,2715516,51.44101526192444,25.614959287482186,-80.56228896188752,blue
355,Florida,Monroe County,Donald Trump,REP,25693,True,12087,FL,39822,36503,47.3,76325,47.825745168686545,25.315618299144923,-81.11063629941314,red
363,Florida,Nassau County,Donald Trump,REP,42566,True,12089,FL,39956,40622,45.0,80578,50.41326416639778,30.61059898992588,-81.80161575823566,red
371,Florida,Okaloosa County,Donald Trump,REP,79798,True,12091,FL,101745,98992,36.8,200737,49.3142768896616,30.691283659672578,-86.59172167469082,red
379,Florida,Okeechobee County,Donald Trump,REP,11470,True,12093,FL,21866,18706,41.1,40572,46.1056886522725,27.386442352560127,-80.88863138971482,red
387,Florida,Orange County,Joe Biden,DEM,395014,True,12095,FL,648446,672748,34.9,1321194,50.91969839402844,28.514424652065124,-81.32351241050317,blue
395,Florida,Osceola County,Joe Biden,DEM,97297,True,12097,FL,166820,171799,35.8,338619,50.73519205951232,28.062685620772754,-81.1494748758002,blue
403,Florida,Palm Beach County,Joe Biden,DEM,433572,True,12099,FL,701207,745070,44.6,1446277,51.51641075672226,26.64759584426105,-80.46551002338627,blue
411,Florida,Pasco County,Donald Trump,REP,179621,True,12101,FL,248572,262021,44.6,510593,51.316998078704565,28.309095478557378,-82.39319537627861,red
419,Florida,Pinellas County,Joe Biden,DEM,277450,True,12103,FL,459766,498109,47.8,957875,52.00146156857628,27.919601540135304,-82.7255990416769,blue
427,Florida,Polk County,Donald Trump,REP,194586,True,12105,FL,327706,340965,40.3,668671,50.991444222943706,27.94887980066956,-81.69757667431374,red
435,Florida,Putnam County,Donald Trump,REP,25514,True,12107,FL,35841,36925,45.0,72766,50.74485336558283,29.608652485033247,-81.74430345444475,red
443,Florida,St. Johns County,Donald Trump,REP,110946,True,12109,FL,114660,120843,43.4,235503,51.31272213092826,29.901641120442296,-81.44066458471889,red
451,Florida,St. Lucie County,Donald Trump,REP,86831,True,12111,FL,149385,156206,44.8,305591,51.11603417639918,27.37725646405573,-80.47202647272216,red
459,Florida,Santa Rosa County,Donald Trump,REP,77385,True,12113,FL,87175,83267,39.7,170442,48.8535689560085,30.700441588009053,-87.0219783377785,red
467,Florida,Sarasota County,Donald Trump,REP,148370,True,12115,FL,196433,215711,55.5,412144,52.338745681121146,27.18446789188277,-82.33150444148295,red
475,Florida,Seminole County,Joe Biden,DEM,132528,True,12117,FL,219935,235151,39.2,455086,51.67177192882224,28.71697275815061,-81.23631749629911,blue
483,Florida,Sumter County,Donald Trump,REP,62761,True,12119,FL,60725,60274,67.0,120999,49.813634823428295,28.704755998197516,-82.08097332451321,red
491,Florida,Suwannee County,Donald Trump,REP,16410,True,12121,FL,22230,21694,42.5,43924,49.38985520444404,30.1956050583855,-82.99149467549117,red
498,Florida,Taylor County,Donald Trump,REP,7751,True,12123,FL,12414,9684,41.7,22098,43.8229704045615,30.047012740046693,-83.60352701355308,red
506,Florida,Union County,Donald Trump,REP,5133,True,12125,FL,9919,5320,39.5,15239,34.91042719338539,30.043854965375022,-82.37143421304569,red
514,Florida,Volusia County,Donald Trump,REP,173821,True,12127,FL,257275,270359,46.5,527634,51.23987461005166,29.05842069048299,-81.1819206464182,red
522,Florida,Wakulla County,Donald Trump,REP,12874,True,12129,FL,17490,14387,40.7,31877,45.13285440913511,30.16731985949023,-84.40067670819596,red
529,Florida,Walton County,Donald Trump,REP,32947,True,12131,FL,33317,32541,43.7,65858,49.41085365483313,30.643581658467326,-86.16965567860775,red
537,Florida,Washington County,Donald Trump,REP,9876,True,12133,FL,13231,11335,41.8,24566,46.14100789709354,30.61060117393221,-85.6653326437579,red
544,Georgia,Appling County,Donald Trump,REP,6570,True,13001,GA,9353,9101,39.0,18454,49.31722119865612,31.74922311475336,-82.28889645061686,red
548,Georgia,Atkinson County,Donald Trump,REP,2300,True,13003,GA,4208,4057,35.5,8265,49.0865093768905,31.297133177431412,-82.88007086610327,red
552,Georgia,Bacon County,Donald Trump,REP,4017,True,13005,GA,5564,5664,37.0,11228,50.44531528322052,31.55368008748609,-82.45269850637237,red
556,Georgia,Baker County,Donald Trump,REP,897,True,13007,GA,1521,1668,47.0,3189,52.30479774223896,31.32614478356452,-84.44471523235575,red
560,Georgia,Baldwin County,Joe Biden,DEM,9140,True,13009,GA,22759,22527,35.3,45286,49.74385019652873,33.06926620604074,-83.24955570280326,blue
564,Georgia,Banks County,Donald Trump,REP,7795,True,13011,GA,9281,9229,41.1,18510,49.859535386277685,34.354150509758256,-83.49737690472382,red
